Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
75,61,Tú,Grupo Firme & Los Elegantes de Jerez,8,1206645,-21.2%,https://www.youtube.com/watch?v=Z0Gx2mbQLfc
76,82,No Es Por Acá,Carin Leon,15,1186043,-9.7%,https://www.youtube.com/watch?v=CboQScwFnLY
77,74,Let Me Love You,Mario,15,1175565,-13.6%,https://www.youtube.com/watch?v=H64QG4UsrGI
78,,Qué Agonía,Yuridia & Ángela Aguilar,1,1163740,,https://www.youtube.com/watch?v=Q8xIa7KcI1A
79,59,Monotonía,Shakira & Ozuna,7,1163229,-24.5%,https://www.youtube.com/watch?v=j5y6xLpRwx4
80,96,Something in the Orange,Zach Bryan,4,1156370,-4.6%,https://www.youtube.com/watch?v=lA8F9sIhGdg
81,,Here With Me,d4vd,1,1150042,,https://www.youtube.com/watch?v=Ip6cw8gfHHI
82,,Loveeeeeee Song,Rihanna & Future,1,1113477,,https://www.youtube.com/watch?v=SybwPySl-fs
83,81,Last Last,Burna Boy,20,1110509,-15.5%,https://www.youtube.com/watch?v=421w1j87fEM
84,86,The Kind of Love We Make,Luke Combs,20,1109476,-11.8%,https://www.youtube.com/watch?v=x8Mc8Pbl06g
85,,Sleigh Ride,The Ronettes,2,1108913,,https://www.youtube.com/watch?v=DkXIJe8CaIc
86,,Te Felicito,Gerardo Coronel,1,1083989,,https://www.youtube.com/watch?v=UDk6PpZUXSM
87,79,J.,Ivan Cornejo,16,1072986,-19.1%,https://www.youtube.com/watch?v=y22I5n-2Nw0
88,,Hey Mor (feat. Feid),Ozuna,1,1070704,,https://www.youtube.com/watch?v=7ouFkoU8Ap8
89,,Lollipop (feat. Static Major),Lil Wayne,2,1057851,,https://www.youtube.com/watch?v=2IH8tNQAzSs
90,93,Alone,Rod Wave,17,1042981,-15.1%,https://www.youtube.com/watch?v=w5Ft8tuWRMQ
91,,In My Head,Juice WRLD,4,1042461,,https://www.youtube.com/watch?v=DqZhP-Vuxgs
92,,LOKERA,"Rauw Alejandro, Lyanno & Brray",3,1039811,,https://www.youtube.com/watch?v=0JeughwzfR0
93,,Don't Play With It (feat. Billy B),Lola Brooke,1,1035610,,https://www.youtube.com/watch?v=skHwjaZPKfs
94,,Wellerman (Sea Shanty),Nathan Evans,16,1032930,,https://www.youtube.com/watch?v=RSx1xWn0RJ0
95,88,CUFF IT,Beyoncé,8,1013703,-18.3%,https://www.youtube.com/watch?v=STLaD0gu034
96,,The Most Wonderful Time Of The Year,Andy Williams,14,1006358,,https://www.youtube.com/watch?v=73UqDX_quk0
97,,When I Was Your Man,Bruno Mars,7,995819,,https://www.youtube.com/watch?v=ekzHIouo8Q4
98,,Neverita,Bad Bunny,15,995807,,https://www.youtube.com/watch?v=ARWg160eaX4
99,,Santa Baby,Eartha Kitt,2,994180,,https://www.youtube.com/watch?v=HTCFi4l3nkY
100,,Hallelujah,Pentatonix,29,993511,,https://www.youtube.com/watch?v=LRP8d7hhpoQ
