Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
60,50,Yellow,Coldplay,7,128984,-3.2%,https://www.youtube.com/watch?v=yKNxeF4KMsY
61,94,It's Beginning To Look Like Christmas,Bing Crosby,8,128889,31%,https://www.youtube.com/watch?v=d82Xzey-4B4
62,,Rudolph the Red-Nosed Reindeer (feat. The Pinafores),Gene Autry,24,125396,,https://www.youtube.com/watch?v=-1xAi_Q6a8g
63,77,Until I Found You,Stephen Sanchez,10,125110,15%,https://www.youtube.com/watch?v=GxldQ9eX2wo
64,56,Romantic Homicide,d4vd,11,123837,-4%,https://www.youtube.com/watch?v=eKL3TceSxvk
65,54,ANTIFRAGILE,LE SSERAFIM,7,123701,-5%,https://www.youtube.com/watch?v=pyf8cbqyfPs
66,65,Fall In Love,Bailey Zimmerman,12,122046,6.2%,https://www.youtube.com/watch?v=d1yKrnPHAmo
67,79,Just Dance (feat. Colby O'Donis),Lady Gaga,5,120855,11.5%,https://www.youtube.com/watch?v=2Abk1jAONjw
68,57,Viva La Vida,Coldplay,13,120634,-6%,https://www.youtube.com/watch?v=dvgZkm1xWPE
69,38,Chann Sitare,Ammy Virk,4,120374,-16.3%,https://www.youtube.com/watch?v=D0gWr9K8Lb4
70,39,Trucker,Arjan Dhillon,2,118041,-17.8%,https://www.youtube.com/watch?v=R-0lwE7YvWk
71,60,Dream On,Aerosmith,3,116763,-1.9%,https://www.youtube.com/watch?v=89dGC8de0CA
72,82,Jehda Nasha,"Amar Jalal, Yohani, Harjot Kaur & IP Singh",2,116678,11.5%,https://www.youtube.com/watch?v=jpYkoa-uE_c
73,62,Flowers Need Rain,Preston Pablo & Banx & Ranx,16,116096,-0.9%,https://www.youtube.com/watch?v=QpG3iyP4e-8
74,74,Superman (feat. Dina Rae),Eminem,11,114220,3.6%,https://www.youtube.com/watch?v=8kYkciD9VjU
75,,Love On The Brain,Rihanna,2,112036,,https://www.youtube.com/watch?v=QMP-o8WXSPM
76,,Do They Know Its Christmas,Band Aid,13,110879,,https://www.youtube.com/watch?v=bmj7KlIut1w
77,72,Tomorrow 2,GloRilla,9,110169,-0.3%,https://www.youtube.com/watch?v=zwa7NzNBQig
78,,Rubicon Drill,"Laddi Chahal, Parmish Verma & Gurlej Akhtar",1,110110,,https://www.youtube.com/watch?v=zIvKigQ9cVY
79,83,Snowman,Sia,18,109978,6.1%,https://www.youtube.com/watch?v=gset79KMmt0
80,25,Hayya Hayya (Better Together),"Trinidad Cardona, Davido & AISHA",2,109669,-39.2%,https://www.youtube.com/watch?v=vyDjFVZgJoo
81,69,Middle of the Night,Elley Duhé,8,109565,-2.1%,https://www.youtube.com/watch?v=oSHzUD-uqKY
82,,Milde (feat. Mxrci),Arjan Dhillon,1,108663,,https://www.youtube.com/watch?v=gdlWhXy5zEs
83,70,SNAP,Rosa Linn,15,108121,-2.9%,https://www.youtube.com/watch?v=Lo4_K4relMg
84,64,STAR WALKIN',Lil Nas X,11,108084,-6.9%,https://www.youtube.com/watch?v=HYsz1hP0BFo
85,,Santa Baby,Eartha Kitt,4,106854,,https://www.youtube.com/watch?v=HTCFi4l3nkY
86,,Birthday,Red Velvet,1,106802,,https://www.youtube.com/watch?v=Ut1OzEVUiM4
87,,Cheshire,ITZY,1,105989,,https://www.youtube.com/watch?v=zugAhfd2r0g
88,,Here With Me,d4vd,1,105091,,https://www.youtube.com/watch?v=Ip6cw8gfHHI
89,,Heer (feat. Mxrci),Arjan Dhillon,1,104235,,https://www.youtube.com/watch?v=bkvfvxrE_XQ
90,53,Bejeweled,Taylor Swift,6,102941,-21.9%,https://www.youtube.com/watch?v=b7QlX3yR2xs
91,81,Wavin' Flag (Coca-Cola® Celebration Mix),K'naan,2,102766,-2%,https://www.youtube.com/watch?v=WTJSt4wP2ME
92,80,KU LO SA,Oxlade,14,101823,-5.4%,https://www.youtube.com/watch?v=1pDQjwaH3qk
93,87,Rush,Ayra Starr,6,101519,0%,https://www.youtube.com/watch?v=crtQSTYWtqE
94,98,The Most Wonderful Time Of The Year,Andy Williams,17,98230,3.3%,https://www.youtube.com/watch?v=73UqDX_quk0
95,63,Nxde,(G)I-DLE,7,97984,-16.1%,https://www.youtube.com/watch?v=fCO7f0SmrDc
96,,NO,Meghan Trainor,1,97308,,https://www.youtube.com/watch?v=cMTAUr3Nm6I
97,,Happy Xmas (War Is Over),"John Lennon, Yoko Ono, The Plastic Ono Band & The Harlem Community Choir",6,96672,,https://www.youtube.com/watch?v=g_kj60DIq2M
98,78,Dekhya Kite (feat. Simar Kaur),Davy & Gur Sidhu,7,96493,-11%,https://www.youtube.com/watch?v=YE1XRIOCuiA
99,96,死ぬのがいいわ,Fujii Kaze,3,96027,-1.2%,https://www.youtube.com/watch?v=3zh9Wb1KuW8
100,91,KICK BACK,Kenshi Yonezu,7,94548,-5.2%,https://www.youtube.com/watch?v=M2cckDmNLMI
